max_features,n_estimators,min_samples_split,solver name,r2 score,rmse score
auto,10,0.2,ebglucose,0.37305300161806343,0.9912972775359002
auto,10,0.2,ebminisat,0.2620847663714604,1.39117839237931
auto,10,0.2,glucose2,0.43302237964502976,0.9645772582730657
auto,10,0.2,glueminisat,0.3696210544446632,1.2748001856932
auto,10,0.2,lingeling,0.31307520755914997,1.17396768627046
auto,10,0.2,lrglshr,0.3215356679382356,1.3154181651484433
auto,10,0.2,minisatpsm,0.3526680875580651,1.087012682892688
auto,10,0.2,mphaseSAT64,0.31959754901666526,1.2852605629414113
auto,10,0.2,precosat,0.24779042223204872,1.3554372446946532
auto,10,0.2,qutersat,0.3642189024069278,1.0796605460476698
auto,10,0.2,rcl,0.32698156361501074,1.095036973804206
auto,10,0.2,restartsat,0.31568372870901706,1.334956296200232
auto,10,0.2,cryptominisat2011,0.38259977254599586,1.1991558437963645
auto,10,0.2,spear-sw,0.25745384769577484,1.32735584631852
auto,10,0.2,spear-hw,0.34290835998786806,1.2090289573812902
auto,10,0.2,eagleup,0.33987342669521936,1.0329925348338929
auto,10,0.2,sparrow,0.3156366391108377,1.255054008366539
auto,10,0.2,marchrw,0.40497736039172083,1.1635287572644117
auto,10,0.2,mphaseSATm,0.33780688347306853,1.2997822170097972
auto,10,0.2,satime11,0.270210246074545,1.2234395788431258
auto,10,0.2,tnm,0.30549201781641855,1.158083324763326
auto,10,0.2,mxc09,0.323944578723837,1.2813120031392686
auto,10,0.2,gnoveltyp2,0.31946718459417744,1.2002034406055244
auto,10,0.2,sattime,0.2746640061510137,1.2306455135966567
auto,10,0.2,sattimep,0.3377050305877617,1.142407341503917
auto,10,0.2,clasp2,0.32539048082088506,1.207893982777932
auto,10,0.2,clasp1,0.42692185392543636,1.09868945845187
auto,10,0.2,picosat,0.3344054943231968,1.395433639450408
auto,10,0.2,mphaseSAT,0.24122085882544586,1.3877296899757505
auto,10,0.2,sapperlot,0.3355190027841338,1.2783742346991074
auto,10,0.2,sol,0.3987418179063268,0.9858861960199822
auto,10,0.4,ebglucose,0.2532166308266173,1.0818967559073809
auto,10,0.4,ebminisat,0.29343360945966357,1.3613069861048996
auto,10,0.4,glucose2,0.1959921836685069,1.1486406861180687
auto,10,0.4,glueminisat,0.28309123981005047,1.3594812180656346
auto,10,0.4,lingeling,0.2714669447489365,1.2089996584892777
auto,10,0.4,lrglshr,0.1711358801918076,1.4539249672641057
auto,10,0.4,minisatpsm,0.20326111490959542,1.2059494653306242
auto,10,0.4,mphaseSAT64,0.22558289633726947,1.3711839313926957
auto,10,0.4,precosat,0.18727209998506056,1.408907788605994
auto,10,0.4,qutersat,0.2287670036896049,1.189121486185561
auto,10,0.4,rcl,0.18006743273760528,1.2086606163142137
auto,10,0.4,restartsat,0.23486813982845078,1.411584100295791
auto,10,0.4,cryptominisat2011,0.2061590454045139,1.3597497446944278
auto,10,0.4,spear-sw,0.16539225235203925,1.4072357091072112
auto,10,0.4,spear-hw,0.23819481682729327,1.301804275123004
auto,10,0.4,eagleup,0.400746074514404,0.9842128229998032
auto,10,0.4,sparrow,0.28215705379779943,1.285386571378641
auto,10,0.4,marchrw,0.3722079549302688,1.1951386203351233
auto,10,0.4,mphaseSATm,0.25626669908729083,1.3774849852440305
auto,10,0.4,satime11,0.29769421167206245,1.2001810605375955
auto,10,0.4,tnm,0.30245100074173525,1.160615984236424
auto,10,0.4,mxc09,0.23976311062652145,1.3587457990146263
auto,10,0.4,gnoveltyp2,0.33944780140909203,1.182453041539719
auto,10,0.4,sattime,0.20736237110346223,1.2864730745904818
auto,10,0.4,sattimep,0.21262712861632416,1.2456197364007169
auto,10,0.4,clasp2,0.34514493125419987,1.1900773290439648
auto,10,0.4,clasp1,0.3545654131482019,1.1659881886815073
auto,10,0.4,picosat,0.293308678918733,1.4378686106050962
auto,10,0.4,mphaseSAT,0.24061915780297038,1.3882798058515247
auto,10,0.4,sapperlot,0.18531521289875363,1.4155053968540003
auto,10,0.4,sol,0.3292051495641257,1.0413366317377193
auto,10,0.6,ebglucose,0.07846513372313169,1.2018337214267494
auto,10,0.6,ebminisat,0.11771058169865345,1.521195811282131
auto,10,0.6,glucose2,0.11843480282345875,1.202766374923679
auto,10,0.6,glueminisat,0.07961405698569224,1.540374274339988
auto,10,0.6,lingeling,0.11495038436050586,1.3325556540249104
auto,10,0.6,lrglshr,0.026663877165215677,1.5755483857534367
auto,10,0.6,minisatpsm,0.08336504726258032,1.293508566642571
auto,10,0.6,mphaseSAT64,0.15121337830112314,1.4355142566113808
auto,10,0.6,precosat,0.08423375110193876,1.4955547006760794
auto,10,0.6,qutersat,0.0925809181327113,1.2898445685835178
auto,10,0.6,rcl,0.10747312549763666,1.2610315535028176
auto,10,0.6,restartsat,0.06720187765188512,1.5585920129053177
auto,10,0.6,cryptominisat2011,0.16751612831522456,1.3924517323940846
auto,10,0.6,spear-sw,0.1692739841874661,1.4039593927963119
auto,10,0.6,spear-hw,0.16320663671644264,1.3643721484709332
auto,10,0.6,eagleup,0.2488137638431528,1.101938574178795
auto,10,0.6,sparrow,0.18511750424582119,1.3695141832323545
auto,10,0.6,marchrw,0.24904844802562698,1.3071226374551448
auto,10,0.6,mphaseSATm,0.19691299386184302,1.431395209610717
auto,10,0.6,satime11,0.21830186033437315,1.266202551653382
auto,10,0.6,tnm,0.1905985191080335,1.2502106230603098
auto,10,0.6,mxc09,0.16793046542101686,1.4214891698907668
auto,10,0.6,gnoveltyp2,0.3021611878548549,1.2153682636475305
auto,10,0.6,sattime,0.2465580384933328,1.2542619862242972
auto,10,0.6,sattimep,0.23929867227167922,1.2243408625015781
auto,10,0.6,clasp2,0.09385140320949481,1.3999170288072385
auto,10,0.6,clasp1,0.11652490556432582,1.364159618541233
auto,10,0.6,picosat,0.1858153901424645,1.5433547698632075
auto,10,0.6,mphaseSAT,0.15327996484912187,1.4659430749627023
auto,10,0.6,sapperlot,0.038126013870562026,1.5380689890961003
auto,10,0.6,sol,0.09508352114261354,1.2094851336145185
auto,10,0.8,ebglucose,-0.001997907895642248,1.253204388676327
auto,10,0.8,ebminisat,-0.0007813682349113726,1.6201274907444043
auto,10,0.8,glucose2,-0.0002709381690149115,1.2811880684735208
auto,10,0.8,glueminisat,-0.0006095736120952377,1.6061037468104746
auto,10,0.8,lingeling,-0.00403416395874534,1.419305196198071
auto,10,0.8,lrglshr,-0.0006272812129783922,1.5974839154091258
auto,10,0.8,minisatpsm,-0.0028140046451294864,1.3529486004340736
